Q5CZC0,"ALPHAFOLD Error in Q5CZC0, @1598: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q5CZC0-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q96N23,"ALPHAFOLD Error in Q96N23, @2011: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q96N23-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
O15417,"ALPHAFOLD Error in O15417, @776: Fetching url https://alphafold.ebi.ac.uk/files/AF-O15417-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q8WXX0,"ALPHAFOLD Error in Q8WXX0, @1992: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q8WXX0-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q8WXG9,"ALPHAFOLD Error in Q8WXG9, @4757: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q8WXG9-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q9UPA5,"ALPHAFOLD Error in Q9UPA5, @204: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q9UPA5-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q8NEZ4,"ALPHAFOLD Error in Q8NEZ4, @118: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q8NEZ4-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
P98088,"ALPHAFOLD Error in P98088, @2144: Fetching url https://alphafold.ebi.ac.uk/files/AF-P98088-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q8WXI7,"ALPHAFOLD Error in Q8WXI7, @7776: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q8WXI7-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q96RW7,"ALPHAFOLD Error in Q96RW7, @2640: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q96RW7-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q99698,"ALPHAFOLD Error in Q99698, @1669: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q99698-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q6V0I7,"ALPHAFOLD Error in Q6V0I7, @4351: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q6V0I7-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q9NYQ6,"ALPHAFOLD Error in Q9NYQ6, @1805: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q9NYQ6-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q15149,"ALPHAFOLD Error in Q15149, @2977: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q15149-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q9HBT7,"ALPHAFOLD Error in Q9HBT7, @754: N/Q not found in this AA or the preceding one: Q9HBT7, @754"
P46013,"ALPHAFOLD Error in P46013, @815: Fetching url https://alphafold.ebi.ac.uk/files/AF-P46013-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q8WXG9,"ALPHAFOLD Error in Q8WXG9, @5213: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q8WXG9-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q6KC79,"ALPHAFOLD Error in Q6KC79, @114: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q6KC79-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q9HC84,"ALPHAFOLD Error in Q9HC84, @4804: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q9HC84-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q6ZQQ6,"ALPHAFOLD Error in Q6ZQQ6, @336: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q6ZQQ6-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
O75445,"ALPHAFOLD Error in O75445, @468: Fetching url https://alphafold.ebi.ac.uk/files/AF-O75445-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
P25391,"ALPHAFOLD Error in P25391, @1361: Fetching url https://alphafold.ebi.ac.uk/files/AF-P25391-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q8IVF4,"ALPHAFOLD Error in Q8IVF4, @2670: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q8IVF4-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
P46939,"ALPHAFOLD Error in P46939, @1912: Fetching url https://alphafold.ebi.ac.uk/files/AF-P46939-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
P24043,"ALPHAFOLD Error in P24043, @2061: Fetching url https://alphafold.ebi.ac.uk/files/AF-P24043-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
A4UGR9,"ALPHAFOLD Error in A4UGR9, @553: Fetching url https://alphafold.ebi.ac.uk/files/AF-A4UGR9-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q9Y520,"ALPHAFOLD Error in Q9Y520, @2338: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q9Y520-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q6V0I7,"ALPHAFOLD Error in Q6V0I7, @1736: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q6V0I7-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q30167,"ALPHAFOLD Error in Q30167, @179: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q30167-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
A0A087WUL8,"ALPHAFOLD Error in A0A087WUL8, @21: Fetching url https://alphafold.ebi.ac.uk/files/AF-A0A087WUL8-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q3L8U1,"ALPHAFOLD Error in Q3L8U1, @1129: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q3L8U1-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q96M86,"ALPHAFOLD Error in Q96M86, @1213: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q96M86-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q6ZS81,"ALPHAFOLD Error in Q6ZS81, @2258: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q6ZS81-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q5T1H1,"ALPHAFOLD Error in Q5T1H1, @886: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q5T1H1-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q02224,"ALPHAFOLD Error in Q02224, @532: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q02224-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q09666,"ALPHAFOLD Error in Q09666, @3471: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q09666-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q7Z7G8,"ALPHAFOLD Error in Q7Z7G8, @3456: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q7Z7G8-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
Q13099,"ALPHAFOLD Error in Q13099, @319: N/Q not found in this AA or the preceding one: Q13099, @319"
Q9NT68,"ALPHAFOLD Error in Q9NT68, @1581: Fetching url https://alphafold.ebi.ac.uk/files/AF-Q9NT68-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
P49454,"ALPHAFOLD Error in P49454, @143: Fetching url https://alphafold.ebi.ac.uk/files/AF-P49454-F1-model_v4.cif failed:
HTTP Error 404: Not Found"
